Date,Actual,Predicted,Percentage Difference (%),Abs_Percentage_Diff
2019-05-16,15.222,14.822562,-2.624082133015354,2.624082133015354
2019-05-17,14.068667,14.9944,6.580104742077291,6.580104742077291
2019-05-20,13.690667,15.390955,12.41932165403977,12.41932165403977
2019-05-21,13.672,14.981479,9.577813714899602,9.577813714899602
2019-05-22,12.848667,15.030879,16.983956551219805,16.983956551219805
2019-05-23,13.032667,18.477188,41.77595507006787,41.77595507006787
2019-05-24,12.708667,14.472262,13.877107508657863,13.877107508657863
2019-05-28,12.58,14.305511,13.716307429327305,13.716307429327305
2019-05-29,12.657333,14.193657,12.137817037654926,12.137817037654926
2019-05-30,12.548,14.231799,13.418864565439806,13.418864565439806
2019-05-31,12.344,14.008799,13.486702845456616,13.486702845456616
2019-06-03,11.931333,13.989256,17.248055226950473,17.248055226950473
2019-06-04,12.906667,14.3545,11.217712651101408,11.217712651101408
2019-06-05,13.106,14.515703,10.756166651105946,10.756166651105946
2019-06-06,13.73,15.430973,12.388733087971705,12.388733087971705
2019-06-07,13.633333,14.828361,8.76548352157284,8.76548352157284
2019-06-10,14.192,14.910064,5.0596374266580355,5.0596374266580355
2019-06-11,14.473333,14.921307,3.095165502703639,3.095165502703639
2019-06-12,13.950667,14.901825,6.818010573773109,6.818010573773109
2019-06-13,14.260667,14.937052,4.743009377270287,4.743009377270287
2019-06-14,14.328,14.915787,4.102364204104293,4.102364204104293
2019-06-17,15.002,14.9509945,-0.339991390633597,0.339991390633597
2019-06-18,14.982667,15.151368,1.125975376575593,1.125975376575593
2019-06-19,15.095333,15.164147,0.4558652466570962,0.4558652466570962
2019-06-20,14.641333,15.348817,4.8321001348925465,4.8321001348925465
2019-06-21,14.790667,15.220672,2.907270197804869,2.907270197804869
2019-06-24,14.909333,15.202641,1.9672746825580023,1.9672746825580023
2019-06-25,14.650667,15.030638,2.5935388545031213,2.5935388545031213
2019-06-26,14.618,15.021004,2.7569005551000885,2.7569005551000885
2019-06-27,14.856,15.073706,1.4654393727636885,1.4654393727636885
2019-06-28,14.897333,15.164369,1.792506279181426,1.792506279181426
2019-07-01,15.144667,15.31061,1.095717835888255,1.095717835888255
2019-07-02,14.97,15.3547,2.5698068704140007,2.5698068704140007
2019-07-03,15.66,15.532122,-0.8165922201456246,0.8165922201456246
2019-07-05,15.54,15.490817,-0.3164924709953342,0.3164924709953342
2019-07-08,15.356,15.389129,0.21573772465198437,0.21573772465198437
2019-07-09,15.337333,15.4098,0.47248485643276344,0.47248485643276344
2019-07-10,15.928,15.513304,-2.603567574624144,2.603567574624144
2019-07-11,15.906667,15.55565,-2.206730313866171,2.206730313866171
2019-07-12,16.338667,15.648169,-4.226161388546737,4.226161388546737
2019-07-15,16.9,15.675899,-7.243203834669116,7.243203834669116
2019-07-16,16.825333,15.612285,-7.209654273473489,7.209654273473489
2019-07-17,16.990667,15.509784,-8.715862980470318,8.715862980470318
2019-07-18,16.902666,15.5393,-8.065982224905909,8.065982224905909
2019-07-19,17.212,15.453117,-10.218932311146474,10.218932311146474
2019-07-22,17.045334,15.499464,-9.069167931621761,9.069167931621761
2019-07-23,17.344667,15.622632,-9.928325365529576,9.928325365529576
2019-07-24,17.658667,15.729321,-10.925776412664412,10.925776412664412
2019-07-25,15.254667,17.92713,17.51898448837591,17.51898448837591
2019-07-26,15.202667,15.692449,3.221682195813617,3.221682195813617
2019-07-29,15.718,15.663694,-0.3454995437468685,0.3454995437468685
2019-07-30,16.150667,15.634885,-3.193565725244956,3.193565725244956
2019-07-31,16.107332,15.460621,-4.0150108029874,4.0150108029874
2019-08-01,15.59,15.705046,0.737945478340233,0.737945478340233
2019-08-02,15.622667,15.544841,-0.4981619803897401,0.4981619803897401
2019-08-05,15.221333,15.035922,-1.2180992921180118,1.2180992921180118
2019-08-06,15.383333,15.258891,-0.8089397424351725,0.8089397424351725
2019-08-07,15.561333,15.251835,-1.9888921509181368,1.9888921509181368
2019-08-08,15.886667,15.596353,-1.8274092532469306,1.8274092532469306
2019-08-09,15.667333,15.477719,-1.210248694236591,1.210248694236591
2019-08-12,15.267333,15.275703,0.05482575231561754,0.05482575231561754
2019-08-13,15.666667,15.529522,-0.8753939677235015,0.8753939677235015
2019-08-14,14.641333,15.027922,2.640392624331014,2.640392624331014
2019-08-15,14.376,15.048712,4.6794085749401715,4.6794085749401715
2019-08-16,14.662667,15.275406,4.178904723056601,4.178904723056601
2019-08-19,15.122,15.49575,2.4715674331840622,2.4715674331840622
2019-08-20,15.057333,15.36162,2.020855548195822,2.020855548195822
2019-08-21,14.722,15.49703,5.264435933831758,5.264435933831758
2019-08-22,14.81,15.498768,4.650694481993265,4.650694481993265
2019-08-23,14.093333,15.053681,6.814203379684508,6.814203379684508
2019-08-26,14.333333,15.226109,6.228666779913583,6.228666779913583
2019-08-27,14.272,15.164669,6.254687758304611,6.254687758304611
2019-08-28,14.372667,15.279879,6.312061751190701,6.312061751190701
2019-08-29,14.780667,15.513149,4.955677991220626,4.955677991220626
2019-08-30,15.040667,15.540891,3.3258079157297455,3.3258079157297455
2019-09-03,15.000667,15.556776,3.7072287969123625,3.7072287969123625
2019-09-04,14.712,15.754301,7.084700048715282,7.084700048715282
2019-09-05,15.305333,15.9842415,4.435764224115242,4.435764224115242
2019-09-06,15.163333,15.985815,5.424150799944667,5.424150799944667
2019-09-09,15.452667,16.003584,3.565189802388512,3.565189802388512
2019-09-10,15.702667,16.003607,1.9164884300523506,1.9164884300523506
2019-09-11,16.473333,16.161575,-1.8924991233843675,1.8924991233843675
2019-09-12,16.391333,16.232992,-0.9660033614031791,0.9660033614031791
2019-09-13,16.346666,16.202414,-0.8824578726942737,0.8824578726942737
2019-09-16,16.187332,16.146885,-0.24986873554648015,0.24986873554648015
2019-09-17,16.319332,16.17687,-0.8729625326003746,0.8729625326003746
2019-09-18,16.232668,16.192127,-0.2497480526109275,0.2497480526109275
2019-09-19,16.440001,16.20254,-1.4444132699886831,1.4444132699886831
2019-09-20,16.041332,16.039417,-0.011936247901966403,0.011936247901966403
2019-09-23,16.082001,16.019678,-0.3875319007583397,0.3875319007583397
2019-09-24,14.880667,15.9054785,6.8868652021984404,6.8868652021984404
2019-09-25,15.246667,15.975605,4.7809662989709665,4.7809662989709665
2019-09-26,16.170668,15.958918,-1.3094720774809527,1.3094720774809527
2019-09-27,16.142,15.877729,-1.637161343739591,1.637161343739591
2019-09-30,16.058001,15.943461,-0.7132866777635982,0.7132866777635982
2019-10-01,16.312668,16.052597,-1.5942882801364016,1.5942882801364016
2019-10-02,16.208668,15.747261,-2.846667922599921,2.846667922599921
2019-10-03,15.535333,15.889003,2.276551136610933,2.276551136610933
2019-10-04,15.428667,16.100235,4.352728497877112,4.352728497877112
2019-10-07,15.848,16.034868,1.1791282203208262,1.1791282203208262
2019-10-08,16.003332,15.780922,-1.3897734794531793,1.3897734794531793
2019-10-09,16.302,15.944989,-2.1899815703181287,2.1899815703181287
2019-10-10,16.316,16.064463,-1.5416605678894024,1.5416605678894024
2019-10-11,16.525999,16.247099,-1.687644282627069,1.687644282627069
2019-10-14,17.130667,16.232954,-5.240385413664537,5.240385413664537
2019-10-15,17.192667,16.408438,-4.561417208384041,4.561417208384041
2019-10-16,17.316668,16.381483,-5.400489990320715,5.400489990320715
2019-10-17,17.464666,16.46193,-5.74151649227611,5.74151649227611
2019-10-18,17.129999,16.396935,-4.279419343355815,4.279419343355815
2019-10-21,16.9,16.511843,-2.2967885937210992,2.2967885937210992
2019-10-22,17.038668,16.443405,-3.4935996677252805,3.4935996677252805
2019-10-23,16.978666,16.49397,-2.854730336460596,2.854730336460596
2019-10-24,19.978666,24.78105,24.037559506693558,24.037559506693558
2019-10-25,21.875334,25.287582,15.598611648448152,15.598611648448152
2019-10-28,21.847334,17.946037,-17.857083649288885,17.857083649288885
2019-10-29,21.081333,16.840242,-20.117753531694333,20.117753531694333
2019-10-30,21.000668,16.879124,-19.62577720030553,19.62577720030553
2019-10-31,20.994667,16.826826,-19.85190288761877,19.85190288761877
2019-11-01,20.887333,17.41268,-16.635217754984758,16.635217754984758
2019-11-04,21.164667,17.504955,-17.291610155037894,17.291610155037894
2019-11-05,21.148001,17.488329,-17.305049618090052,17.305049618090052
2019-11-06,21.771999,17.495047,-19.64427972093612,19.64427972093612
2019-11-07,22.369333,17.60329,-21.306144631753984,21.306144631753984
2019-11-08,22.476,17.628853,-21.565879853006397,21.565879853006397
2019-11-11,23.006001,17.624119,-23.393384165585147,23.393384165585147
2019-11-12,23.328667,17.667503,-24.266982948774597,24.266982948774597
2019-11-13,23.073999,17.683834,-23.360341326495966,23.360341326495966
2019-11-14,23.290001,17.699287,-24.00478035809968,24.00478035809968
2019-11-15,23.478001,17.8201,-24.09873061892382,24.09873061892382
2019-11-18,23.332666,17.838684,-23.546310215766812,23.546310215766812
2019-11-19,23.968,17.84705,-25.538010208883655,25.538010208883655
2019-11-20,23.481333,17.77951,-24.282362938906086,24.282362938906086
2019-11-21,23.655333,17.743727,-24.990585715505755,24.990585715505755
2019-11-22,22.202667,18.328243,-17.45026281925846,17.45026281925846
2019-11-25,22.422667,17.920805,-20.07728171935572,20.07728171935572
2019-11-26,21.927999,17.932354,-18.221658194217028,18.221658194217028
2019-11-27,22.086,18.00757,-18.46613118390096,18.46613118390096
2019-11-29,21.996,18.194244,-17.283849860130815,17.283849860130815
2019-12-02,22.324667,17.796894,-20.281480241177498,20.281480241177498
2019-12-03,22.413334,17.685158,-21.095372174978934,21.095372174978934
2019-12-04,22.202,17.798737,-19.83273321202764,19.83273321202764
2019-12-05,22.024668,17.822775,-19.078122371311284,19.078122371311284
2019-12-06,22.392668,18.0089,-19.576802153630364,19.576802153630364
2019-12-09,22.635332,17.982632,-20.55503456565333,20.55503456565333
2019-12-10,23.256001,17.968988,-22.7339712507791,22.7339712507791
2019-12-11,23.513332,18.03841,-23.2843299845059,23.2843299845059
2019-12-12,23.978666,18.21586,-24.03305352006951,24.03305352006951
